"id","tipo_de_barrio","nombre_del_barrio","integrantes_del_hogar","p1","p1_1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","p12_1","p12_2","p12_3","p13","p14","p14_1","p14_2","trabaja","p15","p16","p17","p18","p19","p20","p21","p22","p22_1","p23","p24","p24_1","p25","p26","p27","p28","p29","p30","p31","p32","p32_1","p32_2","p32_otros_1","p32_otros_2","p33","p33_1","p33_2","p33_3","p33_4","p33_5","p33_6","p34","p35","p36","p37","p38","p38_1","p38_2","p38_3","p38_4","p38_5","p39","p40","p41","p42","p43","p44","p45","p46","p47","p48","p48_1","p48_2","p48_3","p48_4","p48_5","p49","p50","p51","p51_1","p51_2","p51_3","p51_4","p51_5","p52","p53","p54","p55","p56","p57","p58","p59","p60","p60_1","p61","p61_1","p62","p63","p64","p65","p66","p66_1","p66_2","p67","p67_1","p68","p69","p69_1","p70","p71","p72","p72_1","p72_2","p72_3","p72_4","p72_5","p72_6","p72_7","p73","p73_1","p73_2","p73_3","p73_4","p73_5","p73_6","p73_7","p73_8","p73_9","p74","p75","p76","p77","p77_1","p77_2","p78","p79","fecha_de_entrevista","comuna","total_menores","total_adultos_mayores","q189cod1","q189cod1_etiqueta","q189cod2","q189cod2_etiqueta","p20c_renatep_rama_actividad","p20c_renatep_rama_etiqueta","p20c_renatep_ocupacion","p20c_renatep_ocupacion_etiqueta","q219cod1","q219cod1_etiqueta","q219cod2","q219cod2_etiqueta","p42c_cno","p42c_renatep_rama_actividad","p42_renatep_rama_etiqueta","p42c_renatep_ocupacion","p42c_renatep_ocupacion_etiqueta","hogar_monoparental","p67_tema_curso_grupos"
19887556,1,3,1,1,"",2,47,6,1,,,2,,,,5,"","paraguay","",1,1,"","",1,,1,"comercio verduleria",2,1,"comerciante","verdulero",1,"",4,,"",,3,2,,2,"60",7,11,,,"por mi cuenta","",1,,,,,,"",2,,1,2,3,3,3,3,2,1,3,"comprar y vender",1,"compra y venta de articulos",4,,3,2,,13,,,,,"",1,3,1,2,3,3,2,1,2,"",2,2,2,2,2,1,,"",7,"",,,3,1,1,"logistica","",1,"",4,6,"",1,1,6,9,,,,,,"",4,4,4,4,4,4,4,4,4,"",2,"",4,1,"","",2,2,"2023-06-23","comuna 04",0,1,53,"comercio al por mayor, en comision y al por menor, excepto vehiculos automotores y motocicletas",5302,"comercio de materias primas agropecuarias",2,"comercio popular y trabajos en espacios publicos",36,"vendedor/a punto fijo",53,"comercio al por mayor, en comision y al por menor, excepto vehiculos automotores y motocicletas",5306,"comercio de mercaderias ncp incluso mercaderias usadas","06.0.0.1 / comerciante",2,"comercio popular y trabajos en espacios publicos",36,"vendedor/a punto fijo",,10
20024104,1,2,2,1,"",1,34,5,1,,,2,,,,4,"jujuy","","",,1,"","",1,,1,"emprendimiento propio de panaderia",2,1,"panaderiany pasteleria","cocina y vende productos de panaderia y pasteleria",6,"",4,,"",,2,2,,2,"40",5,11,,,"por mi cuenta","",1,,,,,,"cocina",1,1,2,2,3,3,3,3,1,3,2,"local gastronomico",2,"cocinera",1,2,,2,,13,,,,,"",2,2,3,3,3,3,1,3,2,"",1,2,2,2,1,1,,"",1,"",3,4,2,1,1,"logistica","",1,"",2,1,"",1,1,4,,,,,,,"",4,4,4,4,2,4,4,2,4,"",2,"",4,1,"","",1,2,"2023-07-05","comuna 01",1,0,15,"elaboracion de productos alimenticios y bebidas",1504,"elaboracion de productos alimenticios n.c.p.",6,"industria manufacturera.",22,"produccion de alimentos",55,"servicios de hoteleria y restaurantes",5503,"servicios de expendio de comidas y bebidas excepto vendedores ambulantes de comidas","53.1.1.3 / cocinero",3,"servicios personales y otros oficios.",5,"asador // cocinero/a",,10
19801063,1,8,1,1,"",2,28,6,1,,,2,,,,1,"","","",,1,"","",1,,1,"limpieza",5,1,"barrendero","recoleccion",1,"",2,,"",2,,1,1,2,"20 horas",6,10,,,"","",1,,,,,,"carretas, escoba, pala",1,5,2,2,3,3,1,1,1,1,2,"",,"",,,,,,,,,,,"",,,,,,,,,1,"tecnico en administracion de empresas",4,2,1,1,1,2,6,"",1,"",1,1,3,,3,"","armado de computadoras",1,"",2,1,"",2,1,3,9,,,,,,"",4,4,4,4,4,4,4,4,4,"",2,"",4,1,"","",2,2,"2023-06-15","comuna 07",0,0,53,"comercio al por mayor, en comision y al por menor, excepto vehiculos automotores y motocicletas",5308,"tiendas no especializadas sin predominancia de alimentos y bebidas",4,"recuperacion, reciclado y servicios ambientales.",31,"trabajador/a de limpieza de terrenos y espacios verdes",,"",,"","",,"",,"0",,10
19818420,1,8,4,3,"",1,24,7,2,2,1,,,,,5,"","bolivia","",1,1,"","",2,1,,"",,,"","",,"",,,"",,,,,,"",,,,,"","",,,,,,,"",,,,,,,,,,,,"",,"",,,,,,,,,,,"",,,,,,,,,2,"",2,2,2,2,2,2,2,"",7,"",,,3,1,1,"logistica","",1,"",2,6,"",3,2,,,,,,,,"",4,4,4,4,4,4,4,4,4,"",1,"1",4,1,"","",2,2,"2023-06-15","comuna 07",0,0,,"",,"",,"",,"",,"",,"","",,"",,"0",,10
19626639,1,1,5,10,"",1,41,4,2,1,,2,,,,1,"","","",,1,"","",1,,1,"secretaria",3,1,"se dedica al recupero/ comedor","organizacion de papeles mercaderia que llega",1,"",2,,"",2,,2,,2,"40",5,4,,,"","",1,,,,,,"",1,5,1,1,3,2,2,3,1,3,3,"ayudante de cocina",3,"ayudar en la cocina",2,2,,2,,12,,,,,"cuchillos, cuchcaron ollas",1,1,3,3,1,1,1,3,2,"",3,2,1,1,1,2,1,"",1,"",3,3,3,,3,"","teatro enfermeria",1,"",3,2,"",3,1,1,3,5,,,,,"",4,4,4,4,4,4,4,4,1,"potenciar trabajo",2,"",1,1,"","",2,1,"2023-06-01","comuna 08",1,0,93,"servicios n.c.p.",9309,"servicios n.c.p.",1,"servicios socio comunitarios",29,"trabajador/a de comedores y merenderos comunitarios",55,"servicios de hoteleria y restaurantes",5503,"servicios de expendio de comidas y bebidas excepto vendedores ambulantes de comidas","53.3.1.4 / ayudante de cocina/peon de cocina",3,"servicios personales y otros oficios.",5,"asador // cocinero/a",,10
19822256,1,8,2,1,"",1,58,6,1,,,2,,,,5,"","bolivia","",1,1,"","",1,,2,"cuida personas",1,1,"cuidar personas","atienden personas",6,"",1,2,"",2,,2,,2,"40",6,4,,,"","",1,,,,,,"",2,,1,1,3,99,3,1,3,1,1,"servicio domestico",1,"limpiar casas",1,2,,1,2,13,,,,,"",1,1,2,99,2,3,3,1,2,"",2,2,2,2,2,1,,"",7,"",,,3,1,1,"repositor","",1,"",4,3,"",2,1,3,,,,,,,"",4,4,4,4,4,1,4,4,4,"",2,"",4,1,"","",2,2,"2023-06-13","comuna 07",0,0,95,"servicios de hogares privados que contratan servicio domestico",9500,"servicios de hogares privados que contratan servicio domestico",1,"servicios socio comunitarios",10,"cuidados (niños/as, enfermos/as, personas con discapacidad, ancianos/as)",95,"servicios de hogares privados que contratan servicio domestico",9500,"servicios de hogares privados que contratan servicio domestico","55.3.1.4 / mucama/empleada domestica",3,"servicios personales y otros oficios.",26,"servicios de limpieza",,10
20051612,3,99,2,1,"",2,39,6,1,,,1,1,2,2,1,"","","",,1,"","",1,,1,"ferrocarril",8,1,"conductor","conduce ferrocarril",4,"",1,1,"",1,,,,1,"30",8,9,,,"","",1,,,,,,"",1,5,1,1,3,3,3,1,1,3,9,"comercio",3,"atencion al publico",1,2,,,,13,,,,,"",1,2,3,3,3,1,1,3,2,"",2,1,1,2,2,1,,"",7,"",,,3,1,2,"","manejo de ferrocarril",1,"",4,4,"",2,2,,,,,,,,"",4,4,4,4,4,4,4,4,4,"",2,"",4,2,"","ospfe",2,2,"2023-07-05","comuna 04",1,0,60,"servicio de transporte terrestre",6001,"transporte ferroviario",8,"transporte y almacenamiento.",34,"transporte de pasajeros",53,"comercio al por mayor, en comision y al por menor, excepto vehiculos automotores y motocicletas",5308,"tiendas no especializadas sin predominancia de alimentos y bebidas","30.3.1.4 / ayudante de ventas de comercio minorista",2,"comercio popular y trabajos en espacios publicos",36,"vendedor/a punto fijo",,10
20372704,1,2,3,3,"",2,20,6,1,,,2,,,,1,"","","",,1,"","",1,,1,"profe de apoyo escolar",1,1,"profesor de apoyo escolar","enseñar matematicas",9,"",4,,"",,3,2,,2,"3",4,4,,,"","",1,,,,,,"",1,2,4,1,2,3,1,1,1,1,1,"",,"",,,,,,,,,,,"",,,,,,,,,2,"",3,1,1,1,2,2,1,"",7,"",,,3,1,4,"","mejorar las habilidades blandas y duras/ insercion laboral",1,"",2,4,"",2,1,16,3,,,,,,"ft",4,4,4,4,4,4,1,4,2,"beca estudiantil",2,"",4,2,"","osecac",2,99,"2023-07-14","comuna 01",1,0,85,"servicios sociales y de salud",8503,"servicios sociales",1,"servicios socio comunitarios",33,"trabajador/a socio educativo (bachillerato popular, jardin comunitario, clases de apoyo escolar)",,"",,"","",,"",,"0",,10
19879348,1,5,4,1,"",2,45,4,1,,,2,,,,1,"","","",,1,"","",1,,1,"changas contrccion",1,1,"albañil","contrucion",7,"",4,,"",,3,2,,2,"ns",8,5,,,"","",1,2,3,4,,,"",1,1,5,1,3,3,3,3,3,1,1,"operario metalurgico",4,"metalurgico",1,2,,2,,7,,,,,"",1,1,1,1,3,3,1,1,2,"",1,1,1,1,2,2,2,"",1,"",2,4,3,1,1,"uso de matafuego","",1,"",2,6,"",1,1,4,,,,,,,"",4,4,4,4,4,4,4,4,4,"",2,"",4,1,"","",2,2,"2023-06-22","comuna 08",2,0,45,"construccion",4500,"construccion",5,"construccion e infraestructura social y mejoramiento ambiental.",2,"albañil // durlero",28,"fabricacion de productos elaborados de metal, excepto maquinaria y equipo",2800,"fabricacion de productos elaborados de metal, excepto maquinaria y equipo","70.3.1.2 / tecnico metalurgico de produccion extractiva",6,"industria manufacturera.",38,"otros",,10
20216531,1,2,2,2,"",1,26,5,1,,,2,,,,1,"","","",,1,"","",1,,1,"vende ropa",1,1,"vende ropa x su cuenta","vende la ropa",2,"",4,,"",,3,2,,2,"20",6,11,,,"por decision propia","",1,,,,,,"",1,2,5,5,3,3,2,3,1,3,1,"",,"",,,,,,,,,,,"",,,,,,,,,2,"",3,2,2,2,2,2,1,"",7,"",,,3,1,1,"como hacer un cv / trabajo laboral","",1,"",1,1,"",1,1,2,12,,,,,,"",4,4,4,4,4,4,4,4,4,"",2,"",4,1,"","",2,2,"2023-07-10","comuna 01",0,0,53,"comercio al por mayor, en comision y al por menor, excepto vehiculos automotores y motocicletas",5304,"comercio de textiles y avios (merceria), prendas de vestir, calzado, marroquineria y art. similares",2,"comercio popular y trabajos en espacios publicos",36,"vendedor/a punto fijo",,"",,"","",,"",,"0",,10
20372696,1,2,2,2,"",1,35,5,1,,,2,,,,6,"","","peru",1,1,"","",1,,1,"florista",2,1,"vendedora","vender flores",1,"",4,,"",,3,2,,2,"50hs",8,4,,,"","",1,,,,,,"",1,5,1,1,1,3,3,1,3,1,1,"",,"",,,,,,,,,,,"",,,,,,,,,2,"",3,2,2,2,1,2,2,"",7,"",,,3,1,2,"","computacion",1,"",4,3,"",1,1,11,12,,,,,,"",4,2,4,4,1,2,4,4,4,"",2,"",4,2,"","galeno",2,2,"2023-07-14","comuna 02",4,1,53,"comercio al por mayor, en comision y al por menor, excepto vehiculos automotores y motocicletas",5308,"tiendas no especializadas sin predominancia de alimentos y bebidas",2,"comercio popular y trabajos en espacios publicos",36,"vendedor/a punto fijo",,"",,"","",,"",,"0",,10
19922574,3,99,6,3,"",2,35,6,1,,,1,1,2,2,2,"","","",,1,"","",1,,1,"alimentos",8,1,"operario","control, realizacion de pedidos",1,"",1,2,"",1,,,,1,"48",8,4,,,"","",1,12,,,,,"gruas mecanicas",1,4,1,1,2,3,2,2,1,2,5,"",,"",,,,,,,,,,,"",,,,,,,,,1,"conrables",3,1,1,1,2,1,,"",7,"",,,3,1,2,"","logistica",1,"",1,6,"",2,1,3,,,,,,,"",2,4,4,4,4,4,4,4,4,"",2,"",4,2,"","ospicha",2,2,"2023-06-28","comuna 08",2,0,53,"comercio al por mayor, en comision y al por menor, excepto vehiculos automotores y motocicletas",5303,"comercio de alimentos, bebidas y tabaco",6,"industria manufacturera.",38,"otros",,"",,"","",,"",,"0",,10
20250261,1,2,2,2,"",1,60,4,1,,,1,2,,,1,"","","",,1,"","",1,,1,"taller de costura",2,1,"maneja maquinas","maneja maquinas",1,"",1,2,"",2,,1,2,2,"35",8,4,,,"","",1,,,,,,"",1,3,2,2,3,3,1,1,1,3,99,"taller de costura",2,"manejaba maquinas",1,2,,1,2,1,,,,,"",2,2,3,3,1,1,1,3,2,"",1,2,2,2,2,1,,"",7,"",,,3,1,2,"","marketing en ventas",1,"",2,4,"",1,1,15,,,,,,,"",4,4,4,4,4,4,4,4,4,"",2,"",1,1,"","",2,1,"2023-07-11","comuna 01",3,0,17,"fabricacion de productos textiles",1700,"fabricacion de productos textiles",6,"industria manufacturera.",38,"otros",17,"fabricacion de productos textiles",1700,"fabricacion de productos textiles","80.3.1.3 / operario de linea de montaje",6,"industria manufacturera.",38,"otros",,10
19887615,1,8,1,1,"",2,36,6,1,,,2,,,,5,"","bolivia","",1,1,"","",1,,1,"arregla computadoras",1,1,"arregla computadoras","40",6,"",4,,"",,3,2,,2,"40",8,4,,,"","",1,,,,,,"",1,5,1,1,3,3,3,2,2,2,3,"",,"",,,,,,,,,,,"",,,,,,,,,2,"",4,2,2,1,1,1,,"",7,"",,,3,1,1,"sobre computadoras","",1,"",4,99,"",2,1,3,,,,,,,"",4,4,4,4,4,4,4,4,4,"",2,"",4,6,"clinica virgen de copacabana","",2,2,"2023-06-23","comuna 07",0,0,72,"servicios informaticos y actividades conexas",7202,"mantenimiento y reparacion de maquinaria de oficina, contabilidad e informatica",3,"servicios personales y otros oficios.",28,"servicios informaticos",,"",,"","",,"",,"0",,10
20399358,3,99,2,1,"",2,36,6,1,,,1,1,2,2,1,"","","",,1,"","",1,,1,"48",8,1,"chofer","maneja colectivo",1,"",1,2,"",1,,,,1,"48",6,9,,,"","",1,,,,,,"",2,,2,2,3,3,3,3,3,3,6,"taller mecanico",2,"mecanico",1,99,,2,,13,,,,,"",2,1,3,2,2,2,3,3,1,"mecanico",4,1,1,2,2,1,,"",7,"",,,3,1,1,"escuela de choferes","",1,"",1,6,"",1,2,,,,,,,,"",4,4,4,4,4,4,4,4,4,"",2,"",4,2,"","galeno",2,2,"2023-06-05","comuna 09",2,0,,"",,"",8,"transporte y almacenamiento.",34,"transporte de pasajeros",50,"venta, mantenimiento y reparacion de vehiculos automotores y motocicletas; venta al por menor de combustible para vehic",5002,"mantenimiento y reparacion de vehiculos automotores, excepto motocicletas","82.1.1.2 / tecnico mecanico de automotores",3,"servicios personales y otros oficios.",25,"reparador/a de electrodomesticos / electronica / motores",,10
20375412,1,2,1,1,"",2,25,4,1,,,2,,,,4,"jujuy","","",,4,"neuquen","",1,,1,"remis",1,1,"remisero","manejo",1,"",4,,"",,3,2,,2,"48hs",7,4,,,"","",1,,,,,,"",1,5,2,2,3,3,1,1,1,3,3,"",,"",,,,,,,,,,,"",,,,,,,,,1,"electricista",2,1,1,2,2,99,,"",7,"",,,3,1,1,"seguridad","",1,"",2,6,"",2,1,6,8,,,,,,"",4,4,4,4,4,4,4,4,4,"",2,"",4,1,"","",2,2,"2023-07-15","comuna 02",0,0,60,"servicio de transporte terrestre",6004,"transporte automotor de pasajeros",8,"transporte y almacenamiento.",34,"transporte de pasajeros",,"",,"","",,"",,"0",,10
20172226,3,99,3,3,"",2,29,6,1,,,2,,,,5,"","paraguay","",1,1,"","",1,,1,"mantenimiento edificio",2,1,"limpieza mantenimiento","limpia",7,"",4,,"",,2,2,,2,"60",6,4,,,"","",2,12,7,4,,,"limpieza",1,1,3,1,3,3,3,3,3,1,2,"fabrica metalurgico",5,"operario encargado de logistica",1,1,,,,12,,,,,"torneria banco plegador",1,1,3,2,1,3,3,3,2,"",1,2,1,1,2,1,,"",7,"",,,3,1,2,"","logistica y computacion",1,"",4,6,"",2,1,3,,,,,,,"",4,4,4,4,4,4,4,4,4,"",2,"",4,4,"","",2,2,"2023-07-03","comuna 07",0,0,74,"servicios empresariales n.c.p.",7406,"servicios de limpieza de edificios",3,"servicios personales y otros oficios.",26,"servicios de limpieza",28,"fabricacion de productos elaborados de metal, excepto maquinaria y equipo",2800,"fabricacion de productos elaborados de metal, excepto maquinaria y equipo","36.3.2.3 / operador de equipos de carga y descarga en deposito",8,"transporte y almacenamiento.",7,"carga de mercaderia",,10
